PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Note
,,,,,,,,,S45001,U_1,leaf,Emelliodora_LB_Block1,A1,U1,,
,,,,,,,,,S45002,U_2,leaf,Emelliodora_LB_Block1,B1,U2,,
,,,,,,,,,S45003,U_3,leaf,Emelliodora_LB_Block1,C1,U3,,
,,,,,,,,,S45004,U_4,leaf,Emelliodora_LB_Block1,D1,U4,,
,,,,,,,,,S45005,U_5,leaf,Emelliodora_LB_Block1,E1,U5,,
,,,,,,,,,S45006,U_6,leaf,Emelliodora_LB_Block1,F1,U6,,
,,,,,,,,,S45007,U_7,leaf,Emelliodora_LB_Block1,G1,U7,,
,,,,,,,,,S45008,U_8,leaf,Emelliodora_LB_Block1,H1,U8,,fail
,,,,,,,,,S45009,U_9,leaf,Emelliodora_LB_Block1,A2,U9,,
,,,,,,,,,S45010,U_10,leaf,Emelliodora_LB_Block1,B2,U10,,
,,,,,,,,,S45011,P_1,leaf,Emelliodora_LB_Block1,C2,P1,,
,,,,,,,,,S45012,P_2,leaf,Emelliodora_LB_Block1,D2,P2,,
,,,,,,,,,S45013,P_3,leaf,Emelliodora_LB_Block1,E2,P3,,
