PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Note
,,,,,,,,,S45014,P_4,leaf,Emelliodora_LB_Block1,F2,P4,,
,,,,,,,,,S45015,P_5,leaf,Emelliodora_LB_Block1,G2,P5,,
,,,,,,,,,S45016,P_6,leaf,Emelliodora_LB_Block1,H2,P6,,
,,,,,,,,,S45017,P_7,leaf,Emelliodora_LB_Block1,A3,P7,,
,,,,,,,,,S45018,P_8,leaf,Emelliodora_LB_Block1,B3,P8,,
,,,,,,,,,S45019,P_9,leaf,Emelliodora_LB_Block1,C3,P9,,
,,,,,,,,,S45020,P_10,leaf,Emelliodora_LB_Block1,D3,P10,,
,,,,,,,,,S45021,G_1,leaf,Emelliodora_LB_Block1,E3,G1,,
,,,,,,,,,S45022,G_2,leaf,Emelliodora_LB_Block1,F3,G2,,
,,,,,,,,,S45023,G_3,leaf,Emelliodora_LB_Block1,G3,G3,,
,,,,,,,,,S45024,G_4,leaf,Emelliodora_LB_Block1,H3,G4,,
,,,,,,,,,S45025,G_5,leaf,Emelliodora_LB_Block1,A4,G5,,
,,,,,,,,,S45026,G_6,leaf,Emelliodora_LB_Block1,B4,G6,,
,,,,,,,,,S45027,G_7,leaf,Emelliodora_LB_Block1,C4,G7,,
,,,,,,,,,S45028,G_8,leaf,Emelliodora_LB_Block1,D4,G8,,
,,,,,,,,,S45029,G_9,leaf,Emelliodora_LB_Block1,E4,G9,,
,,,,,,,,,S45030,G_10,leaf,Emelliodora_LB_Block1,F4,G10,,
,,,,,,,,,S45031,W1_1,leaf,Emelliodora_LB_Block1,G4,W1-1,,
,,,,,,,,,S45032,W1_2,leaf,Emelliodora_LB_Block1,H4,W1-2,,
,,,,,,,,,S45033,W1_3,leaf,Emelliodora_LB_Block1,A5,W1-3,,
,,,,,,,,,S45034,W1_4,leaf,Emelliodora_LB_Block1,B5,W1-4,,
,,,,,,,,,S45035,W1_5,leaf,Emelliodora_LB_Block1,C5,W1-5,,
,,,,,,,,,S45036,W1_6,leaf,Emelliodora_LB_Block1,D5,W1-6,,
,,,,,,,,,S45037,W1_7,leaf,Emelliodora_LB_Block1,E5,W1-7,,
,,,,,,,,,S45038,W1_8,leaf,Emelliodora_LB_Block1,F5,W1-8,,
,,,,,,,,,S45039,W1_9,leaf,Emelliodora_LB_Block1,G5,W1-9,,
,,,,,,,,,S45040,W1_10,leaf,Emelliodora_LB_Block1,H5,W1-10,,
,,,,,,,,,S45041,H_1,leaf,Emelliodora_LB_Block1,A6,H1,,
,,,,,,,,,S45042,H_2,leaf,Emelliodora_LB_Block1,B6,H2,,
,,,,,,,,,S45043,H_3,leaf,Emelliodora_LB_Block1,C6,H3,,
,,,,,,,,,S45044,H_4,leaf,Emelliodora_LB_Block1,D6,H4,,
,,,,,,,,,S45045,H_5,leaf,Emelliodora_LB_Block1,E6,H5,,
,,,,,,,,,S45046,H_6,leaf,Emelliodora_LB_Block1,F6,H6,,
,,,,,,,,,S45047,H_7,leaf,Emelliodora_LB_Block1,G6,H7,,
,,,,,,,,,S45048,H_8,leaf,Emelliodora_LB_Block1,H6,H8,,
,,,,,,,,,S45049,H_9,leaf,Emelliodora_LB_Block1,A7,H9,,
,,,,,,,,,S45050,H_10,leaf,Emelliodora_LB_Block1,B7,H10,,
,,,,,,,,,S45051,M_3,leaf,Emelliodora_LB_Block1,C7,M3,,
,,,,,,,,,S45052,M_4,leaf,Emelliodora_LB_Block1,D7,M4,,
,,,,,,,,,S45053,M_5,leaf,Emelliodora_LB_Block1,E7,M5,,
,,,,,,,,,S45054,D_1,leaf,Emelliodora_LB_Block1,F7,D1,,
,,,,,,,,,S45055,D_2,leaf,Emelliodora_LB_Block1,G7,D2,,
,,,,,,,,,S45056,D_3,leaf,Emelliodora_LB_Block1,H7,D3,,
,,,,,,,,,S45057,D_4,leaf,Emelliodora_LB_Block1,A8,D4,,
,,,,,,,,,S45058,D_5,leaf,Emelliodora_LB_Block1,B8,D5,,
,,,,,,,,,S45059,D_6,leaf,Emelliodora_LB_Block1,C8,D6,,
,,,,,,,,,S45060,D_7,leaf,Emelliodora_LB_Block1,D8,D7,,
,,,,,,,,,S45061,D_8,leaf,Emelliodora_LB_Block1,E8,D8,,
,,,,,,,,,S45062,D_9,leaf,Emelliodora_LB_Block1,F8,D9,,
,,,,,,,,,S45063,D_10,leaf,Emelliodora_LB_Block1,G8,D10,,
,,,,,,,,,S45064,V_1,leaf,Emelliodora_LB_Block1,H8,V1,,
,,,,,,,,,S45065,V_2,leaf,Emelliodora_LB_Block1,A9,V2,,
,,,,,,,,,S45066,V_3,leaf,Emelliodora_LB_Block1,B9,V3,,
,,,,,,,,,S45067,V_4,leaf,Emelliodora_LB_Block1,C9,V4,,
,,,,,,,,,S45068,V_5,leaf,Emelliodora_LB_Block1,D9,V5,,
,,,,,,,,,S45069,V_6,leaf,Emelliodora_LB_Block1,E9,V6,,
,,,,,,,,,S45070,V_7,leaf,Emelliodora_LB_Block1,F9,V7,,
,,,,,,,,,S45071,V_8,leaf,Emelliodora_LB_Block1,G9,V8,,
,,,,,,,,,S45072,V_9,leaf,Emelliodora_LB_Block1,H9,V9,,
,,,,,,,,,S45073,V_10,leaf,Emelliodora_LB_Block1,A10,V10,,
,,,,,,,,,S45074,A_2,leaf,Emelliodora_LB_Block1,B10,A2,,
,,,,,,,,,S45075,A_3,leaf,Emelliodora_LB_Block1,C10,A3,,
,,,,,,,,,S45076,A_4,leaf,Emelliodora_LB_Block1,D10,A4,,
,,,,,,,,,S45077,A_5,leaf,Emelliodora_LB_Block1,E10,A5,,
,,,,,,,,,S45078,A_6,leaf,Emelliodora_LB_Block1,F10,A6,,
,,,,,,,,,S45079,A_7,leaf,Emelliodora_LB_Block1,G10,A7,,
,,,,,,,,,S45080,A_8,leaf,Emelliodora_LB_Block1,H10,A8,,
,,,,,,,,,S45081,A_9,leaf,Emelliodora_LB_Block1,A11,A9,,
,,,,,,,,,S45082,A_10,leaf,Emelliodora_LB_Block1,B11,A10,,
,,,,,,,,,S45083,A_11,leaf,Emelliodora_LB_Block1,C11,A11,,
,,,,,,,,,S45084,site1_1,leaf,Emelliodora_LB_Block1,D11,site1-1,,
,,,,,,,,,S45085,site1_2,leaf,Emelliodora_LB_Block1,E11,site1-2,,
,,,,,,,,,S45086,site1_3,leaf,Emelliodora_LB_Block1,F11,site1-3,,
,,,,,,,,,S45087,site1_4,leaf,Emelliodora_LB_Block1,G11,site1-4,,
,,,,,,,,,S45088,site1_5,leaf,Emelliodora_LB_Block1,H11,site1-5,,
,,,,,,,,,S45089,site1_6,leaf,Emelliodora_LB_Block1,A12,site1-6,,
,,,,,,,,,S45090,site1_7,leaf,Emelliodora_LB_Block1,B12,site1-7,,
,,,,,,,,,S45091,site1_8,leaf,Emelliodora_LB_Block1,C12,site1-8,,
,,,,,,,,,S45092,site1_9,leaf,Emelliodora_LB_Block1,D12,site1-9,,
