PlateName,BARCODE,Enzyme,LaneNumber,LaneName,ProjectName,R1FileName,R2FileName,Location,notes
Emarginata_Plate1,PstIAdapterPlate9,PstI,L00001,Alongifolia1_Emarginata1_2,SN1117R_0088_NAitken_RSB_GBS,Alongifolia1_Emarginata1_2_NoIndex_L007_R1_001.fastq.gz,Alongifolia1_Emarginata1_2_NoIndex_L007_R2_001.fastq.gz,GDU:/home2/gdu/projects/borevitz/reads/raw/Project_SN877_0261_GBS_Alongifolia_Emarginata_1_2_Niccy_Aitken_RSB/Sample_Alongifolia_Emarginata_1_2_NAitken,
Emarginata_Plate2,PstIAdapterPlate10,PstI,L00001,Alongifolia1_Emarginata1_2,SN1117R_0088_NAitken_RSB_GBS,Alongifolia1_Emarginata1_2_NoIndex_L007_R1_001.fastq.gz,Alongifolia1_Emarginata1_2_NoIndex_L007_R2_001.fastq.gz,GDU:/home2/gdu/projects/borevitz/reads/raw/Project_SN877_0261_GBS_Alongifolia_Emarginata_1_2_Niccy_Aitken_RSB/Sample_Alongifolia_Emarginata_1_2_NAitken,
Emelliodora_LB_Block1,PstIAdapterPlate5,PstI,L00002,Emeliodora_Blk1_4,SN7001117R_0098_RSB_NAitken_GBS,Emeliodora_Blk1_4_NoIndex_L008_R1_001.fastq.gz,Emeliodora_Blk1_4_NoIndex_L008_R2_001.fastq.gz,GDU:/home/gdu/projects/borevitz/reads/raw/Project_SN7001117R_0098_RSB_NAitken_GBS/Sample_Emeliodora_Blk1_4,
Emelliodora_LB_Block2,PstIAdapterPlate6,PstI,L00002,Emeliodora_Blk1_4,SN7001117R_0098_RSB_NAitken_GBS,Emeliodora_Blk1_4_NoIndex_L008_R1_001.fastq.gz,Emeliodora_Blk1_4_NoIndex_L008_R2_001.fastq.gz,GDU:/home/gdu/projects/borevitz/reads/raw/Project_SN7001117R_0098_RSB_NAitken_GBS/Sample_Emeliodora_Blk1_4,
Emelliodora_LB_Block3,PstIAdapterPlate7,PstI,L00002,Emeliodora_Blk1_4,SN7001117R_0098_RSB_NAitken_GBS,Emeliodora_Blk1_4_NoIndex_L008_R1_001.fastq.gz,Emeliodora_Blk1_4_NoIndex_L008_R2_001.fastq.gz,GDU:/home/gdu/projects/borevitz/reads/raw/Project_SN7001117R_0098_RSB_NAitken_GBS/Sample_Emeliodora_Blk1_4,
Emelliodora_LB_Block4,PstIAdapterPlate8,PstI,L00002,Emeliodora_Blk1_4,SN7001117R_0098_RSB_NAitken_GBS,Emeliodora_Blk1_4_NoIndex_L008_R1_001.fastq.gz,Emeliodora_Blk1_4_NoIndex_L008_R2_001.fastq.gz,GDU:/home/gdu/projects/borevitz/reads/raw/Project_SN7001117R_0098_RSB_NAitken_GBS/Sample_Emeliodora_Blk1_4,
