PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,notes
,,,,,,,,,S40391,LT53,leaf,Emarginata_Plate5_2014,G5,2753,,
,,,,,,,,,S40392,S5T1,leaf,Emarginata_Plate5_2014,H5,3016,,
,,,,,,,,,S40393,LT99,leaf,Emarginata_Plate5_2014,A6,2993,,
,,,,,,,,,S40394,LT120,leaf,Emarginata_Plate5_2014,B6,2941,,
,,,,,,,,,S40395,S1T2,leaf,Emarginata_Plate5_2014,C6,2856,,
,,,,,,,,,S40396,LT70,leaf,Emarginata_Plate5_2014,D6,2883,,
,,,,,,,,,S40397,LT109,leaf,Emarginata_Plate5_2014,E6,2952,,
,,,,,,,,,S40398,LT22,leaf,Emarginata_Plate5_2014,F6,3046,,
,,,,,,,,,S40399,S6T12,leaf,Emarginata_Plate5_2014,G6,2775,,
,,,,,,,,,S40400,S2T7,leaf,Emarginata_Plate5_2014,H6,2825,,
,,,,,,,,,S40401,S1T19,leaf,Emarginata_Plate5_2014,A7,2839,,
,,,,,,,,,S40402,S9T13,leaf,Emarginata_Plate5_2014,B7,2980,,
,,,,,,,,,S40403,S9T10,leaf,Emarginata_Plate5_2014,C7,2983,,
,,,,,,,,,S40404,S4T11,leaf,Emarginata_Plate5_2014,D7,3025,,
,,,,,,,,,S40405,LT79,leaf,Emarginata_Plate5_2014,E7,2874,,
,,,,,,,,,S40406,LT45,leaf,Emarginata_Plate5_2014,F7,2791,,
,,,,,,,,,S40407,S5T8,leaf,Emarginata_Plate5_2014,G7,3009,,
,,,,,,,,,S40408,S5T11,leaf,Emarginata_Plate5_2014,H7,3006,,
,,,,,,,,,S40409,S2T9,leaf,Emarginata_Plate5_2014,A8,2823,,
,,,,,,,,,S40410,S3T4,leaf,Emarginata_Plate5_2014,B8,2809,,
,,,,,,,,,S40411,LT81,leaf,Emarginata_Plate5_2014,C8,2872,,
,,,,,,,,,S40412,S1T6,leaf,Emarginata_Plate5_2014,D8,2852,,
,,,,,,,,,S40413,S10T9,leaf,Emarginata_Plate5_2014,E8,2962,,
,,,,,,,,,S40414,S8T9,leaf,Emarginata_Plate5_2014,F8,2891,,
,,,,,,,,,S40415,S2T11,leaf,Emarginata_Plate5_2014,G8,2821,,
,,,,,,,,,S40416,LT4,leaf,Emarginata_Plate5_2014,H8,2834,,
,,,,,,,,,S40417,LT90,leaf,Emarginata_Plate5_2014,A9,2863,,
,,,,,,,,,S40418,S7T13,leaf,Emarginata_Plate5_2014,B9,2759,,
,,,,,,,,,S40419,LT14,leaf,Emarginata_Plate5_2014,C9,3054,,
,,,,,,,,,S40420,S5T3,leaf,Emarginata_Plate5_2014,D9,3014,,
,,,,,,,,,S40421,LT123,leaf,Emarginata_Plate5_2014,E9,2938,,
,,,,,,,,,S40422,S5T12,leaf,Emarginata_Plate5_2014,F9,3005,,
,,,,,,,,,S40423,LT95,leaf,Emarginata_Plate5_2014,G9,2858,,
,,,,,,,,,S40424,S3T6,leaf,Emarginata_Plate5_2014,H9,2807,,
,,,,,,,,,S40425,S2T5,leaf,Emarginata_Plate5_2014,A10,2827,,
,,,,,,,,,S40426,LT75,leaf,Emarginata_Plate5_2014,B10,2878,,
,,,,,,,,,S40427,LT59,leaf,Emarginata_Plate5_2014,C10,2746,,
,,,,,,,,,S40428,S1T9,leaf,Emarginata_Plate5_2014,D10,2849,,
,,,,,,,,,S40429,S1T5,leaf,Emarginata_Plate5_2014,E10,2853,,
,,,,,,,,,S40430,LT105,leaf,Emarginata_Plate5_2014,F10,2971,,
,,,,,,,,,S40431,S1T3,leaf,Emarginata_Plate5_2014,G10,2855,,
,,,,,,,,,S40432,LT34,leaf,Emarginata_Plate5_2014,H10,3017,,
,,,,,,,,,S40433,S10T5,leaf,Emarginata_Plate5_2014,A11,2966,,
,,,,,,,,,S40434,LT56,leaf,Emarginata_Plate5_2014,B11,2750,,
,,,,,,,,,S40435,S10T13,leaf,Emarginata_Plate5_2014,C11,2958,,
,,,,,,,,,S40436,LT100,leaf,Emarginata_Plate5_2014,D11,2976,,
,,,,,,,,,S40437,S1T7,leaf,Emarginata_Plate5_2014,E11,2851,,
,,,,,,,,,S40438,S2T15,leaf,Emarginata_Plate5_2014,F11,2817,,
,,,,,,,,,S40439,S7T11,leaf,Emarginata_Plate5_2014,G11,2761,,
,,,,,,,,,S40440,S4T8,leaf,Emarginata_Plate5_2014,H11,3028,,
,,,,,,,,,S40441,LT47,leaf,Emarginata_Plate5_2014,A12,2789,,
,,,,,,,,,S40442,S5T2,leaf,Emarginata_Plate5_2014,B12,3015,,
,,,,,,,,,S40443,S1T15,leaf,Emarginata_Plate5_2014,C12,2843,,
,,,,,,,,,S40444,JS1,leaf,Emarginata_Plate5_2014,D12,2977,,
,,,,,,,,,S40445,M2,leaf,Emarginata_Plate5_2014,E12,2997,,
,,,,,,,,,S40446,BB1,leaf,Emarginata_Plate5_2014,F12,3031,,
,,,,,,,,,S40447,LT38R,leaf,Emarginata_Plate5_2014,G12,2998R,,
,,,,,,,,,blank2,blank2,blank,Emarginata_Plate5_2014,H12,blank,,
