AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,seedling location
A25319,LB-21-3,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25320,LB-21-4,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25321,LB-21-5,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25322,LB-21-6,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25323,LB-21-7,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25324,LB-21-8,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25325,LB-21-9,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25326,LB-21-10,?,E.melliodora,LB-21,1,?,,,,,Linda,,,,,,
A25327,LB-T2-1,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25328,LB-T2-2,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25329,LB-T2-3,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25330,LB-T2-4,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25331,LB-T2-5,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25332,LB-T2-6,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25333,LB-T2-7,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25334,LB-T2-8,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25335,LB-T2-9,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25336,LB-T2-10,?,E.melliodora,LB-T2,1,?,,,,,Linda,,,,,,
A25337,LB-13-1,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25338,LB-13-2,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25339,LB-13-3,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25340,LB-13-4,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25341,LB-13-5,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25342,LB-13-6,?,E.melliodora,LB-13,1,?,,,,,Linda,,,,,,
A25343,LB-26-1,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25344,LB-26-2,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25345,LB-26-3,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25346,LB-26-4,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25347,LB-26-5,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25348,LB-26-6,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25349,LB-26-7,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25350,LB-26-8,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25351,LB-26-9,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25352,LB-26-10,?,E.melliodora,LB-26,1,?,,,,,Linda,,,,,,
A25353,LB-i1-1,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25354,LB-i1-2,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25355,LB-i1-3,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25356,LB-i1-4,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25357,LB-i1-5,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25358,LB-i1-6,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25359,LB-i1-7,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25360,LB-i1-8,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25361,LB-i1-9,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25362,LB-i1-10,?,E.melliodora,LB-i1,1,?,,,,,Linda,,,,,,
A25363,LB-O-1,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25364,LB-O-2,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25365,LB-O-3,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25366,LB-O-4,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25367,LB-O-5,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25368,LB-O-6,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25369,LB-O-7,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25370,LB-O-8,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25371,LB-O-9,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
A25372,LB-O-10,?,E.melliodora,LB-O,1,?,,,,,Linda,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
'*we have A20001-30000, use 25001 for melliodora','*LB accessions are from Linda''s collection',,,'*LB populations are from Linda''s collection',,,*need to make sure these are all the same format,,,,,,,,,'*numeric, "none", or "lots"',
